Id,Name,InternalName,Value,SellPrice
1,IronPickaxe,IronPickaxe,2000,400
2,DirtBlock,DirtBlock,0,0
3,StoneBlock,StoneBlock,0,0
4,IronBroadsword,IronBroadsword,1800,360
5,Mushroom,Mushroom,1250,250
6,IronShortsword,IronShortsword,1400,280
7,IronHammer,IronHammer,1600,320
8,Torch,Torch,50,10
9,Wood,Wood,0,0
10,IronAxe,IronAxe,1600,320
11,IronOre,IronOre,500,100
12,CopperOre,CopperOre,250,50
13,GoldOre,GoldOre,1500,300
14,SilverOre,SilverOre,750,150
15,CopperWatch,CopperWatch,1000,200
16,SilverWatch,SilverWatch,5000,1000
17,GoldWatch,GoldWatch,10000,2000
18,DepthMeter,DepthMeter,12500,2500
19,GoldBar,GoldBar,6000,1200
20,CopperBar,CopperBar,750,150
21,SilverBar,SilverBar,3000,600
22,IronBar,IronBar,1500,300
23,Gel,Gel,5,1
24,WoodenSword,WoodenSword,100,20
25,WoodenDoor,WoodenDoor,200,40
26,StoneWall,StoneWall,0,0
27,Acorn,Acorn,10,2
28,LesserHealingPotion,LesserHealingPotion,300,60
29,LifeCrystal,LifeCrystal,75000,15000
30,DirtWall,DirtWall,0,0
31,Bottle,Bottle,20,4
32,WoodenTable,WoodenTable,300,60
33,Furnace,Furnace,300,60
34,WoodenChair,WoodenChair,150,30
35,IronAnvil,IronAnvil,5000,1000
36,WorkBench,WorkBench,150,30
37,Goggles,Goggles,1000,200
38,Lens,Lens,500,100
39,WoodenBow,WoodenBow,100,20
40,WoodenArrow,WoodenArrow,5,1
41,FlamingArrow,FlamingArrow,10,2
42,Shuriken,Shuriken,15,3
43,SuspiciousLookingEye,SuspiciousLookingEye,0,0
44,DemonBow,DemonBow,18000,3600
45,WarAxeoftheNight,WarAxeoftheNight,13500,2700
46,LightsBane,LightsBane,13500,2700
47,UnholyArrow,UnholyArrow,40,8
48,Chest,Chest,500,100
49,BandofRegeneration,BandofRegeneration,50000,10000
50,MagicMirror,MagicMirror,50000,10000
51,JestersArrow,JestersArrow,100,20
52,AngelStatue,AngelStatue,300,60
