RecipeIndex,ResultItemId,ResultItemName,ResultAmount,Ingredients,CraftingStations,Conditions
0,8,ItemName.Torch,3,23:ItemName.Gelx1;9:ItemName.Woodx1,,AnyWood
1,974,ItemName.IceTorch,3,8:ItemName.Torchx3;664:ItemName.IceBlockx1,,
2,974,ItemName.IceTorch,3,8:ItemName.Torchx3;833:ItemName.PurpleIceBlockx1,,
3,974,ItemName.IceTorch,3,8:ItemName.Torchx3;834:ItemName.PinkIceBlockx1,,
4,974,ItemName.IceTorch,3,8:ItemName.Torchx3;835:ItemName.RedIceBlockx1,,
5,4383,ItemName.DesertTorch,3,8:ItemName.Torchx3;3272:ItemName.HardenedSandx1,,
6,4383,ItemName.DesertTorch,3,8:ItemName.Torchx3;3274:ItemName.CorruptHardenedSandx1,,
7,4383,ItemName.DesertTorch,3,8:ItemName.Torchx3;3275:ItemName.CrimsonHardenedSandx1,,
8,4383,ItemName.DesertTorch,3,8:ItemName.Torchx3;3338:ItemName.HallowHardenedSandx1,,
9,4384,ItemName.CoralTorch,3,8:ItemName.Torchx3;275:ItemName.Coralx1,,
10,4385,ItemName.CorruptTorch,3,8:ItemName.Torchx3;61:ItemName.EbonstoneBlockx1,,
11,4385,ItemName.CorruptTorch,3,8:ItemName.Torchx3;833:ItemName.PurpleIceBlockx1,,
12,4385,ItemName.CorruptTorch,3,8:ItemName.Torchx3;3274:ItemName.CorruptHardenedSandx1,,
13,4386,ItemName.CrimsonTorch,3,8:ItemName.Torchx3;836:ItemName.CrimstoneBlockx1,,
14,4386,ItemName.CrimsonTorch,3,8:ItemName.Torchx3;835:ItemName.RedIceBlockx1,,
15,4386,ItemName.CrimsonTorch,3,8:ItemName.Torchx3;3275:ItemName.CrimsonHardenedSandx1,,
16,4387,ItemName.HallowedTorch,3,8:ItemName.Torchx3;409:ItemName.PearlstoneBlockx1,,
17,4387,ItemName.HallowedTorch,3,8:ItemName.Torchx3;834:ItemName.PinkIceBlockx1,,
18,4387,ItemName.HallowedTorch,3,8:ItemName.Torchx3;3338:ItemName.HallowHardenedSandx1,,
19,4388,ItemName.JungleTorch,25,8:ItemName.Torchx25;331:ItemName.JungleSporesx1,,
20,5293,ItemName.MushroomTorch,3,8:ItemName.Torchx3;183:ItemName.GlowingMushroomx1,,
21,3114,ItemName.PinkTorch,3,3111:ItemName.PinkGelx1;9:ItemName.Woodx1,,AnyWood
22,433,ItemName.DemonTorch,3,8:ItemName.Torchx3;173:ItemName.Obsidianx1,,
23,523,ItemName.CursedTorch,33,8:ItemName.Torchx33;522:ItemName.CursedFlamex1,,
24,1333,ItemName.IchorTorch,33,8:ItemName.Torchx33;1332:ItemName.Ichorx1,,
25,3045,ItemName.RainbowTorch,10,8:ItemName.Torchx10;662:ItemName.RainbowBrickx1,,
26,427,ItemName.BlueTorch,10,8:ItemName.Torchx10;177:ItemName.Sapphirex1,,
27,428,ItemName.RedTorch,10,8:ItemName.Torchx10;178:ItemName.Rubyx1,,
28,429,ItemName.GreenTorch,10,8:ItemName.Torchx10;179:ItemName.Emeraldx1,,
29,432,ItemName.YellowTorch,10,8:ItemName.Torchx10;180:ItemName.Topazx1,,
30,430,ItemName.PurpleTorch,10,8:ItemName.Torchx10;181:ItemName.Amethystx1,,
31,431,ItemName.WhiteTorch,10,8:ItemName.Torchx10;182:ItemName.Diamondx1,,
32,1245,ItemName.OrangeTorch,20,8:ItemName.Torchx20;999:ItemName.Amberx1,,
33,5378,ItemName.CursedFlare,33,931:ItemName.Flarex33;522:ItemName.CursedFlamex1,,
34,5379,ItemName.RainbowFlare,10,931:ItemName.Flarex10;662:ItemName.RainbowBrickx1,,
35,5377,ItemName.SpelunkerFlare,1,931:ItemName.Flarex1;3002:ItemName.SpelunkerGlowstickx1,,
36,966,ItemName.Campfire,1,9:ItemName.Woodx10;8:ItemName.Torchx5,,AnyWood
37,3048,ItemName.FrozenCampfire,1,9:ItemName.Woodx10;974:ItemName.IceTorchx5,,AnyWood
38,3047,ItemName.DemonCampfire,1,9:ItemName.Woodx10;433:ItemName.DemonTorchx5,,AnyWood
39,3046,ItemName.CursedCampfire,1,9:ItemName.Woodx10;523:ItemName.CursedTorchx5,,AnyWood
40,3049,ItemName.IchorCampfire,1,9:ItemName.Woodx10;1333:ItemName.IchorTorchx5,,AnyWood
41,3050,ItemName.RainbowCampfire,1,9:ItemName.Woodx10;3045:ItemName.RainbowTorchx5,,AnyWood
42,3723,ItemName.UltraBrightCampfire,1,9:ItemName.Woodx10;2274:ItemName.UltrabrightTorchx5,,AnyWood
43,3724,ItemName.BoneCampfire,1,9:ItemName.Woodx10;3004:ItemName.BoneTorchx5,,AnyWood
44,4689,ItemName.DesertCampfire,1,9:ItemName.Woodx10;4383:ItemName.DesertTorchx5,,AnyWood
45,4690,ItemName.CoralCampfire,1,9:ItemName.Woodx10;4384:ItemName.CoralTorchx5,,AnyWood
46,4691,ItemName.CorruptCampfire,1,9:ItemName.Woodx10;4385:ItemName.CorruptTorchx5,,AnyWood
47,4692,ItemName.CrimsonCampfire,1,9:ItemName.Woodx10;4386:ItemName.CrimsonTorchx5,,AnyWood
48,4693,ItemName.HallowedCampfire,1,9:ItemName.Woodx10;4387:ItemName.HallowedTorchx5,,AnyWood
49,4694,ItemName.JungleCampfire,1,9:ItemName.Woodx10;4388:ItemName.JungleTorchx5,,AnyWood
50,5299,ItemName.MushroomCampfire,1,183:ItemName.GlowingMushroomx10;5293:ItemName.MushroomTorchx5,,
51,5357,ItemName.ShimmerCampfire,1,9:ItemName.Woodx10;5353:ItemName.ShimmerTorchx5,,AnyWood
52,2751,ItemName.LivingCursedFireBlock,20,2701:ItemName.LivingFireBlockx20;522:ItemName.CursedFlamex1,CrystalBall,
53,2752,ItemName.LivingDemonFireBlock,20,2701:ItemName.LivingFireBlockx20;433:ItemName.DemonTorchx1,CrystalBall,
54,2753,ItemName.LivingFrostFireBlock,20,2701:ItemName.LivingFireBlockx20;664:ItemName.IceBlockx10,CrystalBall,
55,2754,ItemName.LivingIchorBlock,20,2701:ItemName.LivingFireBlockx20;1332:ItemName.Ichorx1,CrystalBall,
56,2755,ItemName.LivingUltrabrightFireBlock,20,2701:ItemName.LivingFireBlockx20;2274:ItemName.UltrabrightTorchx2,CrystalBall,
57,985,ItemName.RopeCoil,1,965:ItemName.Ropex10,,
58,3005,ItemName.VineRopeCoil,1,2996:ItemName.VineRopex10,,
59,3078,ItemName.WebRope,3,150:ItemName.Cobwebx1,,
60,3080,ItemName.WebRopeCoil,1,3078:ItemName.WebRopex10,,
61,3077,ItemName.SilkRope,30,225:ItemName.Silkx1,Loom,
62,3079,ItemName.SilkRopeCoil,1,3077:ItemName.SilkRopex10,,
63,2590,ItemName.MolotovCocktail,5,353:ItemName.Alex5;23:ItemName.Gelx1;225:ItemName.Silkx1;8:ItemName.Torchx1,,
64,1130,ItemName.Beenade,1,168:ItemName.Grenadex1;2431:ItemName.BeeWaxx1,Anvils,
65,2586,ItemName.StickyGrenade,5,168:ItemName.Grenadex5;23:ItemName.Gelx1,,
66,235,ItemName.StickyBomb,1,166:ItemName.Bombx1;23:ItemName.Gelx1,,
67,2896,ItemName.StickyDynamite,1,167:ItemName.Dynamitex1;23:ItemName.Gelx1,,
68,3116,ItemName.BouncyGrenade,2,168:ItemName.Grenadex2;3111:ItemName.PinkGelx1,,
69,3115,ItemName.BouncyBomb,1,166:ItemName.Bombx1;3111:ItemName.PinkGelx1,,
70,3547,ItemName.BouncyDynamite,1,167:ItemName.Dynamitex1;3111:ItemName.PinkGelx1,,
71,4423,ItemName.ScarabBomb,1,166:ItemName.Bombx1;3380:ItemName.FossilOrex1,,
72,4908,ItemName.DirtBomb,1,166:ItemName.Bombx1;2:ItemName.DirtBlockx25,,
73,4909,ItemName.DirtStickyBomb,1,4908:ItemName.DirtBombx1;23:ItemName.Gelx1,,
74,4909,ItemName.DirtStickyBomb,1,235:ItemName.StickyBombx1;2:ItemName.DirtBlockx25,,NotDecraftable
75,1338,ItemName.ExplosiveBunny,1,2019:ItemName.Bunnyx1;167:ItemName.Dynamitex1,,
76,286,ItemName.StickyGlowstick,5,282:ItemName.Glowstickx5;23:ItemName.Gelx1,,
77,3112,ItemName.BouncyGlowstick,5,282:ItemName.Glowstickx5;3111:ItemName.PinkGelx1,,
78,3191,ItemName.EnchantedNightcrawler,1,2002:ItemName.Wormx1;75:ItemName.FallenStarx1,,
79,2243,ItemName.GlassBowl,2,170:ItemName.Glassx1,Furnaces,
80,2244,ItemName.WineGlass,1,170:ItemName.Glassx1,Furnaces,
81,351,ItemName.Mug,1,170:ItemName.Glassx1,Furnaces,
82,353,ItemName.Ale,1,351:ItemName.Mugx1,Kegs,
83,357,ItemName.BowlofSoup,1,5:ItemName.Mushroomx1;261:ItemName.Goldfishx1,CookingPots,NotDecraftable
84,3195,ItemName.GrubSoup,1,3192:ItemName.Grubbyx1;3193:ItemName.Sluggyx1;3194:ItemName.Buggyx1,CookingPots,NotDecraftable
85,1787,ItemName.PumpkinPie,1,1725:ItemName.Pumpkinx10,Furnaces,
86,5092,ItemName.MonsterLasagna,1,68:ItemName.RottenChunkx8,CookingPots,CorruptionWorld
87,5092,ItemName.MonsterLasagna,1,1330:ItemName.Vertebraex8,CookingPots,CrimsonWorld
88,5093,ItemName.FroggleBunwich,1,2121:ItemName.Frogx2,CookingPots,NotDecraftable
89,4033,ItemName.SauteedFrogLegs,1,2121:ItemName.Frogx1,CookingPots,NotDecraftable
90,4032,ItemName.RoastedDuck,1,2123:ItemName.Duckx1,CookingPots,NotDecraftable
91,4032,ItemName.RoastedDuck,1,2122:ItemName.MallardDuckx1,CookingPots,NotDecraftable
92,4032,ItemName.RoastedDuck,1,4374:ItemName.Grebex1,CookingPots,NotDecraftable
93,4031,ItemName.RoastedBird,1,2015:ItemName.Birdx1,CookingPots,NotDecraftable
94,4031,ItemName.RoastedBird,1,2017:ItemName.Cardinalx1,CookingPots,NotDecraftable
95,4031,ItemName.RoastedBird,1,2016:ItemName.BlueJayx1,CookingPots,NotDecraftable
96,4031,ItemName.RoastedBird,1,2205:ItemName.Penguinx1,CookingPots,NotDecraftable
97,4031,ItemName.RoastedBird,1,4359:ItemName.Seagullx1,CookingPots,NotDecraftable
98,4024,ItemName.GrilledSquirrel,1,2018:ItemName.Squirrelx1,CookingPots,NotDecraftable
99,4024,ItemName.GrilledSquirrel,1,3563:ItemName.SquirrelRedx1,CookingPots,NotDecraftable
100,4014,ItemName.BunnyStew,1,2019:ItemName.Bunnyx1,CookingPots,NotDecraftable
101,4019,ItemName.Escargot,1,2006:ItemName.Snailx1,CookingPots,NotDecraftable
102,4022,ItemName.GoldenDelight,1,2889:ItemName.GoldBirdx1,CookingPots,NotDecraftable
103,4022,ItemName.GoldenDelight,1,2890:ItemName.GoldBunnyx1,CookingPots,NotDecraftable
104,4022,ItemName.GoldenDelight,1,2892:ItemName.GoldFrogx1,CookingPots,NotDecraftable
105,4022,ItemName.GoldenDelight,1,2894:ItemName.GoldMousex1,CookingPots,NotDecraftable
106,4022,ItemName.GoldenDelight,1,3564:ItemName.SquirrelGoldx1,CookingPots,NotDecraftable
107,4022,ItemName.GoldenDelight,1,2893:ItemName.GoldGrasshopperx1,CookingPots,NotDecraftable
108,4022,ItemName.GoldenDelight,1,2895:ItemName.GoldWormx1,CookingPots,NotDecraftable
109,4022,ItemName.GoldenDelight,1,2891:ItemName.GoldButterflyx1,CookingPots,NotDecraftable
110,4022,ItemName.GoldenDelight,1,4274:ItemName.GoldGoldfishx1,CookingPots,NotDecraftable
111,4022,ItemName.GoldenDelight,1,4340:ItemName.GoldDragonflyx1,CookingPots,NotDecraftable
112,4022,ItemName.GoldenDelight,1,4362:ItemName.GoldLadyBugx1,CookingPots,NotDecraftable
113,4022,ItemName.GoldenDelight,1,4482:ItemName.GoldSeahorsex1,CookingPots,NotDecraftable
114,4022,ItemName.GoldenDelight,1,4419:ItemName.GoldWaterStriderx1,CookingPots,NotDecraftable
115,2425,ItemName.CookedFish,1,2290:ItemName.Bassx1,CookingPots,NotDecraftable
116,2425,ItemName.CookedFish,1,2297:ItemName.Troutx1,CookingPots,NotDecraftable
117,2425,ItemName.CookedFish,1,2299:ItemName.AtlanticCodx1,CookingPots,NotDecraftable
118,2427,ItemName.Sashimi,1,2300:ItemName.Tunax1,WorkBenches,NotDecraftable
119,2427,ItemName.Sashimi,1,2298:ItemName.Salmonx1,WorkBenches,NotDecraftable
120,2427,ItemName.Sashimi,1,2301:ItemName.RedSnapperx1,WorkBenches,NotDecraftable
121,2427,ItemName.Sashimi,1,4401:ItemName.Flounderx1,WorkBenches,NotDecraftable
122,2426,ItemName.CookedShrimp,1,2316:ItemName.Shrimpx1,CookingPots,NotDecraftable
123,4403,ItemName.LobsterTail,1,4402:ItemName.RockLobsterx1,CookingPots,NotDecraftable
124,5009,ItemName.Teacup,1,126:ItemName.BottledWaterx1,TeaKettle,
125,4614,ItemName.AppleJuice,1,4009:ItemName.Applex1;31:ItemName.Bottlex1,CookingPots,
126,4617,ItemName.BananaDaiquiri,1,4283:ItemName.Bananax1;31:ItemName.Bottlex1;593:ItemName.SnowBlockx1,CookingPots,
127,4615,ItemName.GrapeJuice,1,4023:ItemName.Grapesx2;31:ItemName.Bottlex1,CookingPots,
128,4616,ItemName.Lemonade,1,4291:ItemName.Lemonx1;31:ItemName.Bottlex1,CookingPots,
129,4618,ItemName.PeachSangria,1,4293:ItemName.Peachx1;31:ItemName.Bottlex1,CookingPots,
130,4619,ItemName.PinaColada,1,4294:ItemName.Pineapplex1;4287:ItemName.Coconutx1;31:ItemName.Bottlex1,CookingPots,
131,4620,ItemName.TropicalSmoothie,1,4292:ItemName.Mangox1;4294:ItemName.Pineapplex1;31:ItemName.Bottlex1,CookingPots,
