InputItemId,InputItemName,OutputItemId,OutputItemName,OutputAmount,Type
1,ItemName.IronPickaxe,9,ItemName.Wood,3,deconstruct
1,ItemName.IronPickaxe,22,ItemName.IronBar,10,deconstruct
3,ItemName.StoneBlock,2,ItemName.DirtBlock,1,item_transform
4,ItemName.IronBroadsword,22,ItemName.IronBar,8,deconstruct
6,ItemName.IronShortsword,22,ItemName.IronBar,6,deconstruct
7,ItemName.IronHammer,9,ItemName.Wood,3,deconstruct
7,ItemName.IronHammer,22,ItemName.IronBar,8,deconstruct
8,ItemName.Torch,5353,ItemName.ShimmerTorch,1,item_transform
9,ItemName.Wood,2,ItemName.DirtBlock,1,item_transform
10,ItemName.IronAxe,9,ItemName.Wood,3,deconstruct
10,ItemName.IronAxe,22,ItemName.IronBar,8,deconstruct
11,ItemName.IronOre,699,ItemName.TinOre,1,item_transform
12,ItemName.CopperOre,3,ItemName.StoneBlock,1,item_transform
13,ItemName.GoldOre,701,ItemName.TungstenOre,1,item_transform
14,ItemName.SilverOre,700,ItemName.LeadOre,1,item_transform
15,ItemName.CopperWatch,20,ItemName.CopperBar,10,deconstruct
15,ItemName.CopperWatch,85,ItemName.Chain,1,deconstruct
16,ItemName.SilverWatch,21,ItemName.SilverBar,10,deconstruct
16,ItemName.SilverWatch,85,ItemName.Chain,1,deconstruct
17,ItemName.GoldWatch,19,ItemName.GoldBar,10,deconstruct
17,ItemName.GoldWatch,85,ItemName.Chain,1,deconstruct
19,ItemName.GoldBar,13,ItemName.GoldOre,4,deconstruct
20,ItemName.CopperBar,12,ItemName.CopperOre,3,deconstruct
21,ItemName.SilverBar,14,ItemName.SilverOre,4,deconstruct
22,ItemName.IronBar,11,ItemName.IronOre,3,deconstruct
24,ItemName.WoodenSword,9,ItemName.Wood,7,deconstruct
25,ItemName.WoodenDoor,9,ItemName.Wood,6,deconstruct
26,ItemName.StoneWall,3,ItemName.StoneBlock,1,deconstruct
29,ItemName.LifeCrystal,5337,ItemName.AegisCrystal,1,item_transform
30,ItemName.DirtWall,2,ItemName.DirtBlock,1,deconstruct
31,ItemName.Bottle,170,ItemName.Glass,1,deconstruct
32,ItemName.WoodenTable,9,ItemName.Wood,8,deconstruct
33,ItemName.Furnace,3,ItemName.StoneBlock,20,deconstruct
33,ItemName.Furnace,8,ItemName.Torch,3,deconstruct
33,ItemName.Furnace,9,ItemName.Wood,4,deconstruct
34,ItemName.WoodenChair,9,ItemName.Wood,4,deconstruct
35,ItemName.IronAnvil,22,ItemName.IronBar,5,deconstruct
36,ItemName.WorkBench,9,ItemName.Wood,10,deconstruct
37,ItemName.Goggles,38,ItemName.Lens,2,deconstruct
39,ItemName.WoodenBow,9,ItemName.Wood,10,deconstruct
40,ItemName.WoodenArrow,5348,ItemName.ShimmerArrow,1,item_transform
41,ItemName.FlamingArrow,8,ItemName.Torch,1,deconstruct
41,ItemName.FlamingArrow,40,ItemName.WoodenArrow,10,deconstruct
43,ItemName.SuspiciousLookingEye,38,ItemName.Lens,6,deconstruct
44,ItemName.DemonBow,57,ItemName.DemoniteBar,8,deconstruct
45,ItemName.WarAxeoftheNight,57,ItemName.DemoniteBar,10,deconstruct
46,ItemName.LightsBane,57,ItemName.DemoniteBar,10,deconstruct
47,ItemName.UnholyArrow,40,ItemName.WoodenArrow,5,deconstruct
47,ItemName.UnholyArrow,69,ItemName.WormTooth,1,deconstruct
48,ItemName.Chest,9,ItemName.Wood,8,deconstruct
48,ItemName.Chest,22,ItemName.IronBar,2,deconstruct
50,ItemName.MagicMirror,19,ItemName.GoldBar,8,deconstruct
50,ItemName.MagicMirror,170,ItemName.Glass,10,deconstruct
50,ItemName.MagicMirror,182,ItemName.Diamond,3,deconstruct
51,ItemName.JestersArrow,40,ItemName.WoodenArrow,10,deconstruct
51,ItemName.JestersArrow,75,ItemName.FallenStar,1,deconstruct
52,ItemName.AngelStatue,5347,ItemName.ShimmerMonolith,1,item_transform
55,ItemName.EnchantedBoomerang,75,ItemName.FallenStar,1,deconstruct
55,ItemName.EnchantedBoomerang,284,ItemName.WoodenBoomerang,1,deconstruct
57,ItemName.DemoniteBar,56,ItemName.DemoniteOre,3,deconstruct
67,ItemName.VilePowder,66,ItemName.PurificationPowder,1,item_transform
70,ItemName.WormFood,67,ItemName.VilePowder,30,deconstruct
70,ItemName.WormFood,68,ItemName.RottenChunk,15,deconstruct
71,ItemName.CopperCoin,72,ItemName.SilverCoin,1,deconstruct
72,ItemName.SilverCoin,73,ItemName.GoldCoin,1,deconstruct
73,ItemName.GoldCoin,74,ItemName.PlatinumCoin,1,deconstruct
74,ItemName.PlatinumCoin,73,ItemName.GoldCoin,100,deconstruct
76,ItemName.CopperGreaves,20,ItemName.CopperBar,16,deconstruct
77,ItemName.IronGreaves,22,ItemName.IronBar,20,deconstruct
78,ItemName.SilverGreaves,21,ItemName.SilverBar,20,deconstruct
79,ItemName.GoldGreaves,19,ItemName.GoldBar,25,deconstruct
80,ItemName.CopperChainmail,20,ItemName.CopperBar,20,deconstruct
81,ItemName.IronChainmail,22,ItemName.IronBar,25,deconstruct
82,ItemName.SilverChainmail,21,ItemName.SilverBar,25,deconstruct
83,ItemName.GoldChainmail,19,ItemName.GoldBar,30,deconstruct
84,ItemName.GrapplingHook,85,ItemName.Chain,3,deconstruct
84,ItemName.GrapplingHook,118,ItemName.Hook,1,deconstruct
85,ItemName.Chain,22,ItemName.IronBar,1,deconstruct
89,ItemName.CopperHelmet,20,ItemName.CopperBar,12,deconstruct
90,ItemName.IronHelmet,954,ItemName.AncientIronHelmet,1,item_transform
91,ItemName.SilverHelmet,21,ItemName.SilverBar,15,deconstruct
92,ItemName.GoldHelmet,955,ItemName.AncientGoldHelmet,1,item_transform
93,ItemName.WoodWall,9,ItemName.Wood,1,deconstruct
94,ItemName.WoodPlatform,9,ItemName.Wood,1,deconstruct
99,ItemName.IronBow,22,ItemName.IronBar,7,deconstruct
100,ItemName.ShadowGreaves,958,ItemName.AncientShadowGreaves,1,item_transform
101,ItemName.ShadowScalemail,957,ItemName.AncientShadowScalemail,1,item_transform
102,ItemName.ShadowHelmet,956,ItemName.AncientShadowHelmet,1,item_transform
103,ItemName.NightmarePickaxe,57,ItemName.DemoniteBar,12,deconstruct
103,ItemName.NightmarePickaxe,86,ItemName.ShadowScale,6,deconstruct
104,ItemName.TheBreaker,57,ItemName.DemoniteBar,10,deconstruct
104,ItemName.TheBreaker,86,ItemName.ShadowScale,5,deconstruct
105,ItemName.Candle,8,ItemName.Torch,1,deconstruct
105,ItemName.Candle,19,ItemName.GoldBar,1,deconstruct
106,ItemName.CopperChandelier,8,ItemName.Torch,4,deconstruct
106,ItemName.CopperChandelier,20,ItemName.CopperBar,4,deconstruct
106,ItemName.CopperChandelier,85,ItemName.Chain,1,deconstruct
107,ItemName.SilverChandelier,8,ItemName.Torch,4,deconstruct
107,ItemName.SilverChandelier,21,ItemName.SilverBar,4,deconstruct
107,ItemName.SilverChandelier,85,ItemName.Chain,1,deconstruct
108,ItemName.GoldChandelier,8,ItemName.Torch,4,deconstruct
108,ItemName.GoldChandelier,19,ItemName.GoldBar,4,deconstruct
108,ItemName.GoldChandelier,85,ItemName.Chain,1,deconstruct
109,ItemName.ManaCrystal,5339,ItemName.ArcaneCrystal,1,item_transform
117,ItemName.MeteoriteBar,116,ItemName.Meteorite,3,deconstruct
119,ItemName.Flamarang,55,ItemName.EnchantedBoomerang,1,deconstruct
119,ItemName.Flamarang,175,ItemName.HellstoneBar,10,deconstruct
120,ItemName.MoltenFury,175,ItemName.HellstoneBar,15,deconstruct
121,ItemName.FieryGreatsword,175,ItemName.HellstoneBar,20,deconstruct
122,ItemName.MoltenPickaxe,175,ItemName.HellstoneBar,20,deconstruct
123,ItemName.MeteorHelmet,117,ItemName.MeteoriteBar,10,deconstruct
124,ItemName.MeteorSuit,117,ItemName.MeteoriteBar,20,deconstruct
125,ItemName.MeteorLeggings,117,ItemName.MeteoriteBar,15,deconstruct
126,ItemName.BottledWater,31,ItemName.Bottle,1,deconstruct
127,ItemName.SpaceGun,117,ItemName.MeteoriteBar,20,deconstruct
129,ItemName.GrayBrick,3,ItemName.StoneBlock,2,deconstruct
130,ItemName.GrayBrickWall,129,ItemName.GrayBrick,1,deconstruct
131,ItemName.RedBrick,133,ItemName.ClayBlock,2,deconstruct
132,ItemName.RedBrickWall,131,ItemName.RedBrick,1,deconstruct
134,ItemName.BlueBrick,5417,ItemName.AncientBlueDungeonBrick,1,item_transform
135,ItemName.BlueBrickWall,5365,ItemName.BlueBrickWallUnsafe,1,item_transform
137,ItemName.GreenBrick,5419,ItemName.AncientGreenDungeonBrick,1,item_transform
138,ItemName.GreenBrickWall,5371,ItemName.GreenBrickWallUnsafe,1,item_transform
139,ItemName.PinkBrick,5421,ItemName.AncientPinkDungeonBrick,1,item_transform
140,ItemName.PinkBrickWall,5368,ItemName.PinkBrickWallUnsafe,1,item_transform
141,ItemName.GoldBrick,5423,ItemName.AncientGoldBrick,1,item_transform
142,ItemName.GoldBrickWall,141,ItemName.GoldBrick,1,deconstruct
143,ItemName.SilverBrick,5425,ItemName.AncientSilverBrick,1,item_transform
144,ItemName.SilverBrickWall,143,ItemName.SilverBrick,1,deconstruct
145,ItemName.CopperBrick,5427,ItemName.AncientCopperBrick,1,item_transform
146,ItemName.CopperBrickWall,145,ItemName.CopperBrick,1,deconstruct
148,ItemName.WaterCandle,105,ItemName.Candle,1,deconstruct
151,ItemName.NecroHelmet,959,ItemName.AncientNecroHelmet,1,item_transform
152,ItemName.NecroBreastplate,150,ItemName.Cobweb,50,deconstruct
152,ItemName.NecroBreastplate,154,ItemName.Bone,60,deconstruct
153,ItemName.NecroGreaves,150,ItemName.Cobweb,45,deconstruct
153,ItemName.NecroGreaves,154,ItemName.Bone,50,deconstruct
170,ItemName.Glass,169,ItemName.SandBlock,2,deconstruct
171,ItemName.Sign,9,ItemName.Wood,6,deconstruct
175,ItemName.HellstoneBar,173,ItemName.Obsidian,1,deconstruct
175,ItemName.HellstoneBar,174,ItemName.Hellstone,3,deconstruct
176,ItemName.MudBlock,2,ItemName.DirtBlock,1,deconstruct
177,ItemName.Sapphire,180,ItemName.Topaz,1,item_transform
178,ItemName.Ruby,179,ItemName.Emerald,1,item_transform
179,ItemName.Emerald,177,ItemName.Sapphire,1,item_transform
180,ItemName.Topaz,181,ItemName.Amethyst,1,item_transform
181,ItemName.Amethyst,3,ItemName.StoneBlock,1,item_transform
182,ItemName.Diamond,178,ItemName.Ruby,1,item_transform
185,ItemName.IvyWhip,210,ItemName.Vine,3,deconstruct
185,ItemName.IvyWhip,331,ItemName.JungleSpores,12,deconstruct
190,ItemName.BladeofGrass,209,ItemName.Stinger,12,deconstruct
190,ItemName.BladeofGrass,210,ItemName.Vine,3,deconstruct
190,ItemName.BladeofGrass,331,ItemName.JungleSpores,15,deconstruct
191,ItemName.ThornChakram,209,ItemName.Stinger,9,deconstruct
191,ItemName.ThornChakram,331,ItemName.JungleSpores,6,deconstruct
192,ItemName.ObsidianBrick,5433,ItemName.AncientObsidianBrick,1,item_transform
193,ItemName.ObsidianSkull,173,ItemName.Obsidian,20,deconstruct
194,ItemName.MushroomGrassSeeds,195,ItemName.JungleGrassSeeds,1,item_transform
195,ItemName.JungleGrassSeeds,194,ItemName.MushroomGrassSeeds,1,item_transform
196,ItemName.WoodenHammer,9,ItemName.Wood,8,deconstruct
197,ItemName.StarCannon,75,ItemName.FallenStar,5,deconstruct
197,ItemName.StarCannon,98,ItemName.Minishark,1,deconstruct
197,ItemName.StarCannon,117,ItemName.MeteoriteBar,20,deconstruct
198,ItemName.BluePhaseblade,117,ItemName.MeteoriteBar,15,deconstruct
198,ItemName.BluePhaseblade,177,ItemName.Sapphire,10,deconstruct
199,ItemName.RedPhaseblade,117,ItemName.MeteoriteBar,15,deconstruct
199,ItemName.RedPhaseblade,178,ItemName.Ruby,10,deconstruct
200,ItemName.GreenPhaseblade,117,ItemName.MeteoriteBar,15,deconstruct
200,ItemName.GreenPhaseblade,179,ItemName.Emerald,10,deconstruct
201,ItemName.PurplePhaseblade,117,ItemName.MeteoriteBar,15,deconstruct
201,ItemName.PurplePhaseblade,181,ItemName.Amethyst,10,deconstruct
202,ItemName.WhitePhaseblade,117,ItemName.MeteoriteBar,15,deconstruct
202,ItemName.WhitePhaseblade,182,ItemName.Diamond,10,deconstruct
203,ItemName.YellowPhaseblade,117,ItemName.MeteoriteBar,15,deconstruct
203,ItemName.YellowPhaseblade,180,ItemName.Topaz,10,deconstruct
204,ItemName.MeteorHamaxe,117,ItemName.MeteoriteBar,20,deconstruct
205,ItemName.EmptyBucket,22,ItemName.IronBar,2,deconstruct
206,ItemName.WaterBucket,207,ItemName.LavaBucket,1,item_transform
207,ItemName.LavaBucket,1128,ItemName.HoneyBucket,1,item_transform
214,ItemName.HellstoneBrick,5435,ItemName.AncientHellstoneBrick,1,item_transform
215,ItemName.WhoopieCushion,5346,ItemName.GasTrap,1,item_transform
217,ItemName.MoltenHamaxe,175,ItemName.HellstoneBar,15,deconstruct
219,ItemName.PhoenixBlaster,164,ItemName.Handgun,1,deconstruct
219,ItemName.PhoenixBlaster,175,ItemName.HellstoneBar,10,deconstruct
222,ItemName.ClayPot,133,ItemName.ClayBlock,5,deconstruct
224,ItemName.Bed,9,ItemName.Wood,15,deconstruct
224,ItemName.Bed,225,ItemName.Silk,5,deconstruct
225,ItemName.Silk,150,ItemName.Cobweb,7,deconstruct
228,ItemName.JungleHat,960,ItemName.AncientCobaltHelmet,1,item_transform
229,ItemName.JungleShirt,961,ItemName.AncientCobaltBreastplate,1,item_transform
230,ItemName.JunglePants,962,ItemName.AncientCobaltLeggings,1,item_transform
231,ItemName.MoltenHelmet,175,ItemName.HellstoneBar,10,deconstruct
232,ItemName.MoltenBreastplate,175,ItemName.HellstoneBar,20,deconstruct
233,ItemName.MoltenGreaves,175,ItemName.HellstoneBar,15,deconstruct
234,ItemName.MeteorShot,97,ItemName.MusketBall,70,deconstruct
234,ItemName.MeteorShot,117,ItemName.MeteoriteBar,1,deconstruct
235,ItemName.StickyBomb,23,ItemName.Gel,1,deconstruct
235,ItemName.StickyBomb,166,ItemName.Bomb,1,deconstruct
237,ItemName.Sunglasses,236,ItemName.BlackLens,2,deconstruct
240,ItemName.TuxedoShirt,225,ItemName.Silk,20,deconstruct
240,ItemName.TuxedoShirt,254,ItemName.BlackThread,3,deconstruct
241,ItemName.TuxedoPants,225,ItemName.Silk,20,deconstruct
241,ItemName.TuxedoPants,254,ItemName.BlackThread,3,deconstruct
247,ItemName.HerosHat,225,ItemName.Silk,20,deconstruct
247,ItemName.HerosHat,255,ItemName.GreenThread,3,deconstruct
248,ItemName.HerosShirt,225,ItemName.Silk,20,deconstruct
248,ItemName.HerosShirt,255,ItemName.GreenThread,3,deconstruct
